title,platform_name,region_code,amount
IHRA Drag Racing 2,PS2,NA,0.64
The Beatles: Rock Band,X360,NA,0.97
Tekken 6,X360,NA,0.71
[Prototype],X360,NA,0.84
Deal or No Deal,Wii,NA,1.22
Madagascar,PS2,NA,0.78
Rugrats Studio Tour,PS,NA,0.57
LEGO Battles,DS,NA,0.81
Pitfall II: Lost Caverns,2600,NA,1.22
Turok: Evolution,PS2,NA,0.64
High School Musical 3: Senior Year DANCE!,Wii,NA,0.68
Gold's Gym: Cardio Workout,Wii,NA,1.11
Burnout 3: Takedown,XB,NA,0.84
Yu-Gi-Oh! The Sacred Cards,GBA,NA,0.94
Crysis 2,PS3,NA,0.45
NBA Live 07,PS2,NA,1.07
Saints Row IV,PS3,NA,0.56
SingStar '80s,PS2,NA,0.27
EA Playground,Wii,NA,0.69
Test Drive 5,PS,NA,1.05
EA Sports Active 2,Wii,NA,0.78
Digimon World,PS,NA,0.56
Rise of the Tomb Raider,XOne,NA,0.53
Need for Speed Carbon,Wii,NA,0.46
Yoshi's Woolly World,WiiU,NA,0.61
Mega Man Battle Network 3 Blue / White Version,GBA,NA,0.39
FIFA Street,PS3,NA,0.11
Resident Evil Zero,GC,NA,0.54
Need for Speed: Most Wanted,X360,NA,1.0
Tom Clancy's Rainbow Six: Siege,XOne,NA,0.73
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,NA,0.93
Transformers,PS2,NA,0.63
Guitar Hero: Aerosmith,Wii,NA,1.04
Mystery Case Files: MillionHeir,DS,NA,0.76
Valkyria Chronicles,PS3,NA,0.71
Midnight Club 3: DUB Edition (America weekly sales),PS2,NA,1.22
Champions of Norrath,PS2,NA,0.63
Watch Dogs,X360,NA,0.72
Imagine: Wedding Designer,DS,NA,0.55
Metal Gear Solid V: Ground Zeroes,PS4,NA,0.45
Assassin's Creed Syndicate,XOne,NA,0.61
Army Men 3D,PS,NA,1.1
WWE '13,X360,NA,0.72
Twisted Metal 4,PS,NA,1.07
Manhunt,PS2,NA,0.63
Kid Icarus: Uprising,3DS,NA,0.48
Silent Hill 2,PS2,NA,0.62
Tomb Raider: Underworld,PS3,NA,0.45
Castlevania: Symphony of the Night,PS,NA,0.58
The Sims 2: Nightlife,PC,NA,1.22
LEGO Batman: The Videogame,PS2,NA,0.72
Road Rash,PS,NA,0.71
Pokemon Mystery Dungeon: Gates to Infinity,3DS,NA,0.44
Atlantis,2600,NA,1.18
NBA 2K9,X360,NA,1.0
WWE '12,X360,NA,0.74
Tony Hawk's Underground,XB,NA,0.85
Hogan's Alley,NES,NA,0.68
The Elder Scrolls Online,XOne,NA,0.77
Jillian Michaels' Fitness Ultimatum 2009,Wii,NA,0.96
.hack//Infection Part 1,PS2,NA,0.49
Rockstar Games presents Table Tennis,Wii,NA,0.39
Sonic Adventure DX: Director's Cut,GC,NA,0.87
Jet Li: Rise to Honor,PS2,NA,0.62
Battle Arena Toshinden,PS,NA,0.39
Kung Fu Panda,DS,NA,0.56
Tamagotchi Connection: Corner Shop,DS,NA,0.1
Devil Dice,PS,NA,0.05
Final Fantasy IV,DS,NA,0.54
Hyrule Warriors,WiiU,NA,0.61
Need for Speed Carbon,PS3,NA,0.49
Brian Lara Cricket,PS,NA,0.02
Ratatouille,DS,NA,0.5
Wheel of Fortune,PS,NA,0.99
LEGO The Lord of the Rings,X360,NA,0.63
Winter Sports: The Ultimate Challenge,Wii,NA,0.45
SOCOM: U.S. Navy SEALs Confrontation,PS3,NA,0.94
NBA Live 2001,PS,NA,0.7
Star Wars: The Force Unleashed,PS2,NA,0.49
Tom Clancy's Rainbow Six: Vegas,PS3,NA,0.47
Reel Fishing,PS,NA,0.99
Injustice: Gods Among Us,PS3,NA,0.48
Pokemon XD: Gale of Darkness,GC,NA,0.71
Black,PS2,NA,1.01
RollerCoaster Tycoon 2,PC,NA,1.19
Lara Croft Tomb Raider: The Angel of Darkness,PS2,NA,0.61
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,NA,0.52
Road Rash 3D,PS,NA,1.05
Ratchet: Deadlocked,PS2,NA,0.85
Baldur's Gate: Dark Alliance,PS2,NA,0.61
Transformers: Autobots / Decepticons,DS,NA,1.12
Tales of Xillia,PS3,NA,0.29
Diddy Kong Racing DS,DS,NA,1.1
[Prototype],PS3,NA,0.65
Assassin's Creed: Bloodlines,PSP,NA,0.43
Oddworld: Abe's Oddysee,PS,NA,0.75
The Witcher 3: Wild Hunt,XOne,NA,0.66
Ridge Racer V,PS2,NA,0.24
WWE SmackDown vs. Raw 2009,PS2,NA,0.69
Tetris 2 (All region sales),GB,NA,0.56
Star Wars Episode III: Revenge of the Sith,XB,NA,0.82
Ben 10: Protector of Earth,Wii,NA,0.55
Frogger: The Great Quest,PS2,NA,0.6
2010 FIFA World Cup South Africa,PS3,NA,0.3
Ninja Gaiden,XB,NA,0.92
Crash Bandicoot: The Wrath of Cortex,XB,NA,0.59
Driv3r,PS2,NA,0.6
Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,NA,0.69
Farming Simulator 2015,PC,NA,0.08
Guitar Hero: Aerosmith,X360,NA,1.0
Medal of Honor: Airborne,PS3,NA,0.25
Kirby Tilt 'n' Tumble,GB,NA,0.29
SpongeBob SquarePants: Battle for Bikini Bottom,GBA,NA,0.88
Vigilante 8,PS,NA,0.68
Castlevania,NES,NA,0.54
Donkey Kong Country 2,GBA,NA,0.79
Bayonetta,PS3,NA,0.44
"WarioWare, Inc.: Mega MicroGame$",GBA,NA,0.4
Star Wars: Battlefront II,PSP,NA,1.05
Madden NFL 17,PS4,NA,0.92
Boom Blox,Wii,NA,0.72
Fallout 4,PC,NA,0.5
The Sims 2: Castaway,Wii,NA,0.45
LEGO Batman 2: DC Super Heroes,PS3,NA,0.5
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,NA,0.42
Mario Power Tennis,GC,NA,0.58
Intelligent Qube,PS,NA,0.13
Game & Watch Gallery 2,GB,NA,0.76
Game & Watch Gallery 3,GB,NA,0.79
Pac-Man,NES,NA,0.27
Parfait: Chocolat Second Style,PS2,NA,0.59
F1 2011,PS3,NA,0.12
Cars,PSP,NA,0.72
NBA Live 99,PS,NA,1.13
Golden Sun: The Lost Age,GBA,NA,0.61
SimCity 2000,PS,NA,0.68
Max Payne,XB,NA,0.98
WCW Mayhem,PS,NA,0.68
NBA 2K2,PS2,NA,0.59
Super Street Fighter IV: 3D Edition,3DS,NA,0.55
Cars,PS2,NA,1.01
Fuzion Frenzy,XB,NA,0.93
Call of Duty: Finest Hour,XB,NA,0.78
FIFA Soccer 11,PSP,NA,0.13
Sly Cooper and the Thievius Raccoonus,PS2,NA,1.03
LEGO Indiana Jones 2: The Adventure Continues,DS,NA,0.66
The Magical Quest starring Mickey Mouse,SNES,NA,0.66
Star Wars Episode 1: Jedi Power Battles,PS,NA,0.66
Dino Crisis 2,PS,NA,0.34
Need for Speed Underground,GC,NA,0.69
Test Drive 4,PS,NA,0.67
FIFA Soccer 07,PSP,NA,0.24
World Soccer Winning Eleven 9 (JP & Others sales),PSP,NA,0.01
The Lord of the Rings: The Fellowship of the Ring,PS2,NA,0.59
LEGO Star Wars III: The Clone Wars,PS3,NA,0.52
ATV Offroad Fury 3,PS2,NA,1.0
Pikmin 2,GC,NA,0.48
Just Dance 2016,Wii,NA,0.52
Disney Sing It,Wii,NA,0.77
Battlefield: Hardline,XOne,NA,0.72
WWE 2K16,PS4,NA,0.41
NFL 2K,DC,NA,1.12
SolarStriker,GB,NA,0.4
Enter the Matrix,XB,NA,0.72
NHL 2002,PS2,NA,0.59
Mario vs. Donkey Kong 2: March of the Minis,DS,NA,0.74
PokéPark Wii: Pikachu's Adventure,Wii,NA,0.55
One Piece: Pirate Warriors,PS3,NA,0.01
WWE 2K14,PS3,NA,0.49
Metal Gear Solid: Portable Ops,PSP,NA,0.38
Nuclear Strike,PS,NA,0.66
Captain Toad: Treasure Tracker,WiiU,NA,0.56
WWE SmackDown vs Raw 2008,PSP,NA,0.45
The Simpsons: Road Rage,GBA,NA,0.86
Pro Evolution Soccer 2008,Wii,NA,0.09
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,NA,0.92
Mario & Sonic at the London 2012 Olympic Games,3DS,NA,0.18
Scarface: The World is Yours,PS2,NA,0.99
Kobe Bryant in NBA Courtside,N64,NA,1.02
Disney's Chip 'n Dale: Rescue Rangers,NES,NA,0.68
The Dukes of Hazzard: Racing for Home,PS,NA,0.99
FIFA 14,XOne,NA,0.41
Spider-Man: The Movie,GC,NA,0.86
Final Fantasy I & II: Dawn of Souls,GBA,NA,0.64
NBA 2K17,PS4,NA,0.83
Pokemon Super Mystery Dungeon,3DS,NA,0.46
Just Dance 4,X360,NA,0.9
Metal Gear Solid VR Missions,PS,NA,0.66
Pole Position,2600,NA,1.1
Resident Evil: Operation Raccoon City,PS3,NA,0.48
LEGO Indiana Jones: The Original Adventures,PSP,NA,0.4
Pro Yakyuu Family Stadium '88,NES,NA,0.1
Shenmue,DC,NA,0.52
Mario Tennis,GB,NA,0.5
Tony Hawk's Pro Skater 2,GBA,NA,0.85
WWE '12,PS3,NA,0.53
WWE SmackDown vs. Raw 2010,PS3,NA,0.48
Plants vs. Zombies,DS,NA,0.95
Sonic the Hedgehog,PS3,NA,0.41
Super Ghouls 'n Ghosts,SNES,NA,0.5
Spore,PC,NA,0.03
Soviet Strike,PS,NA,0.65
Your Shape: Fitness Evolved 2012,X360,NA,0.7
Army of Two,PS3,NA,0.74
Gun,PS2,NA,0.98
Ty the Tasmanian Tiger,PS2,NA,0.57
Wario Land: Shake It!,Wii,NA,0.6
Sonic Rush Adventure,DS,NA,0.54
Medal of Honor: Warfighter,X360,NA,0.58
Mega Man 3,NES,NA,0.68
Ratchet & Clank (2016),PS4,NA,0.32
Mission: Impossible,N64,NA,0.74
Cabela's Dangerous Hunts,PS2,NA,0.57
Cool Boarders 4,PS,NA,0.65
Rage Racer,PS,NA,0.16
Medal of Honor: Rising Sun,XB,NA,0.76
Destruction Derby 2,PS,NA,0.65
Mirror's Edge,X360,NA,0.51
Destiny: The Taken King,XOne,NA,0.82
Mario vs. Donkey Kong,GBA,NA,0.68
007: Quantum of Solace,PS3,NA,0.43
EA Sports Active: More Workouts,Wii,NA,0.78
Fallout: New Vegas,PC,NA,0.58
Need for Speed: Most Wanted,PSV,NA,0.38
Final Fantasy Tactics: The War of the Lions,PSP,NA,0.45
Midnight Club 3: DUB Edition Remix,PS2,NA,0.97
Tom Clancy's Ghost Recon: Jungle Storm,PS2,NA,0.57
SingStar,PS3,NA,0.45
Bushido Blade,PS,NA,0.39
LEGO Star Wars III: The Clone Wars,DS,NA,0.66
NASCAR Thunder 2002,PS2,NA,0.57
Jet Force Gemini,N64,NA,0.78
Mega Man X,SNES,NA,0.57
Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,NA,0.84
Sega Rally Championship,SAT,NA,0.21
Test Drive: Off Road,PS,NA,0.65
Medal of Honor Heroes 2,PSP,NA,0.5
Sniper: Ghost Warrior,X360,NA,0.54
Rocksmith,PS3,NA,0.52
LEGO Star Wars: The Video Game,XB,NA,0.83
FIFA Soccer 10,PSP,NA,0.15
Plants vs. Zombies: Garden Warfare,X360,NA,0.51
Omerta: City of Gangsters,PS3,NA,0.52
Gauntlet: Dark Legacy,PS2,NA,0.56
Ninja Gaiden Sigma,PS3,NA,0.57
Bad Boys: Miami Takedown,PS2,NA,0.56
Kaboom!,2600,NA,1.07
Red Dead Redemption: Undead Nightmare,PS3,NA,0.44
Sonic and the Black Knight,Wii,NA,0.69
Qix,GB,NA,0.51
High School Musical 2: Work This Out!,DS,NA,0.5
Ratchet & Clank: All 4 One,PS3,NA,0.75
Donkey Konga,GC,NA,0.5
Fight Night Champion,PS3,NA,0.45
Tak and the Power of Juju,PS2,NA,0.56
Asteroids,PS,NA,0.64
Pokemon Rumble Blast,3DS,NA,0.47
Action Bass,PS,NA,0.64
Tenchu: Wrath of Heaven,PS2,NA,0.44
Shadow of the Colossus,PS2,NA,0.78
Brave Fencer Musashi,PS,NA,0.25
Hot Shots Golf: Out of Bounds,PS3,NA,0.31
Dance Dance Revolution Extreme 2,PS2,NA,0.95
Mirror's Edge,PS3,NA,0.31
Rabbids Go Home,Wii,NA,0.26
South Park,N64,NA,0.9
Commando,NES,NA,0.71
Pilotwings,SNES,NA,0.46
Resident Evil - Code: Veronica,DC,NA,0.41
Super R.C. Pro-Am,GB,NA,0.58
The Lord of the Rings: The Return of the King,XB,NA,0.71
LEGO Star Wars: The Video Game,GBA,NA,0.82
Guitar Hero 5,X360,NA,0.65
Mobile Suit Gundam: Federation vs. Zeon,PS2,NA,0.12
Need for Speed Underground 2,GC,NA,0.7
MechAssault,XB,NA,1.01
ModNation Racers,PS3,NA,0.5
LEGO Star Wars III: The Clone Wars,3DS,NA,0.61
Cars,GBA,NA,0.81
Fantasy Life,3DS,NA,0.33
Tom Clancy's Rainbow Six 3: Black Arrow,XB,NA,0.99
WWE 2K15,PS4,NA,0.38
Donkey Kong,NES,NA,0.23
Jampack Winter '98,PS,NA,0.63
WWE 2K14,X360,NA,0.64
Alien: Isolation,PS4,NA,0.34
Yakuza 3,PS3,NA,0.21
Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,NA,0.81
The Beatles: Rock Band,PS3,NA,0.67
Dragon Age II,X360,NA,0.72
Moon Patrol,2600,NA,1.05
Supercar Street Challenge,PS2,NA,0.55
Pilotwings 64,N64,NA,0.56
Crackdown 2,X360,NA,0.63
Final Fantasy XIV: A Realm Reborn,PS3,NA,0.36
Castlevania: Lords of Shadow,PS3,NA,0.5
Rocksmith,X360,NA,0.84
Disney Infinity 2.0: Marvel Super Heroes,X360,NA,0.62
SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,NA,1.03
Call Of Duty 2: Big Red One,XB,NA,0.66
Yoshi's Cookie,NES,NA,0.41
Guitar Hero 5,PS2,NA,0.28
Spider-Man 2,XB,NA,0.82
Counter-Strike,XB,NA,0.85
Mad Max (2015),PS4,NA,0.32
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS2,NA,0.63
GRID,PS3,NA,0.31
Guitar Hero Encore: Rocks The 80s,PS2,NA,0.92
Sunset Overdrive,XOne,NA,0.62
Tom Clancy's Splinter Cell: Chaos Theory,XB,NA,0.68
Donkey Kong Jr.,NES,NA,0.33
NBA Jam Tournament Edition,GEN,NA,0.95
Need for Speed: ProStreet,Wii,NA,0.54
Pikmin 3,WiiU,NA,0.45
Legend of Mana,PS,NA,0.18
Lumines: Puzzle Fusion,PSP,NA,0.52
Toy Story 3: The Video Game,PS3,NA,0.51
Guitar Hero 5,PS3,NA,0.53
Megamania,2600,NA,1.03
Medal of Honor: Airborne,X360,NA,0.45
The Legend of Zelda: Tri Force Heroes,3DS,NA,0.52
Jungle Hunt,2600,NA,1.03
Triple Play 98,PS,NA,0.61
LEGO The Lord of the Rings,PS3,NA,0.36
Petz Dogz 2,DS,NA,0.47
WWE SmackDown vs. Raw 2011,PS3,NA,0.44
F-Zero X,N64,NA,0.45
Popeye,NES,NA,0.51
NERF N-Strike,Wii,NA,0.92
NBA Live 2001,PS2,NA,0.52
SingStar Legends,PS2,NA,0.12
Tales of Symphonia,GC,NA,0.54
Untold Legends: Brotherhood of the Blade,PSP,NA,0.54
Star Ocean: The Second Story,PS,NA,0.26
Lightning Returns: Final Fantasy XIII,PS3,NA,0.31
Star Wars: The Force Unleashed,PSP,NA,0.43
Imagine: Babysitters,DS,NA,0.63
The Simpsons Game,PSP,NA,0.24
Yakuza 2,PS2,NA,0.05
Skate 2,X360,NA,0.82
Dragon Ball Z: The Legacy of Goku II,GBA,NA,0.78
Virtua Fighter 5,PS3,NA,0.29
NFL 2K1,DC,NA,1.02
Namco Museum Battle Collection,PSP,NA,0.75
LEGO Star Wars II: The Original Trilogy,DS,NA,0.96
Madden NFL 2004,XB,NA,1.02
Empire: Total War,PC,NA,0.01
The Godfather,PS2,NA,0.89
Tiger Woods PGA Tour 10,Wii,NA,0.61
Star Wars: Bounty Hunter,PS2,NA,0.53
Dante's Inferno,PS3,NA,0.64
Sonic & Sega All-Stars Racing,DS,NA,0.44
Skylanders Giants,PS3,NA,0.35
Endless Ocean,Wii,NA,0.44
NFL Blitz 2000,PS,NA,0.6
Sonic Free Riders,X360,NA,0.74
NASCAR Thunder 2004,PS2,NA,0.53
Prince of Persia,PS3,NA,0.47
SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,NA,0.53
Grand Theft Auto V,PC,NA,0.36
The Biggest Loser,Wii,NA,0.87
Fisherman's Bass Club,PS2,NA,0.53
MySims Agents,DS,NA,0.55
Resident Evil: The Darkside Chronicles,Wii,NA,0.48
NCAA Football 13,X360,NA,1.02
Grand Theft Auto: Chinatown Wars,PSP,NA,0.28
FIFA Soccer 11,Wii,NA,0.26
The Orange Box,PS3,NA,0.28
Joust,2600,NA,1.01
Tomb Raider: Underworld,X360,NA,0.53
Tom Clancy's Ghost Recon 2,PS2,NA,0.64
DiRT 3,PS3,NA,0.27
LEGO City Undercover,WiiU,NA,0.47
Spore Creatures,DS,NA,0.67
Ready 2 Rumble Boxing,PS,NA,0.6
Dragon Ball Z: Taiketsu,GBA,NA,0.77
Disney's Lilo & Stitch,GBA,NA,0.77
Star Fox: Assault,GC,NA,0.68
Naruto: Ultimate Ninja Storm,PS3,NA,0.49
Marvel vs. Capcom 3: Fate of Two Worlds,X360,NA,0.79
NCAA Football 14,X360,NA,1.01
Call of Duty 3,PS2,NA,0.89
Imagine: Fashion Designer New York,DS,NA,0.65
Red Dead Redemption: Undead Nightmare,X360,NA,0.57
Bully: Scholarship Edition,X360,NA,0.53
Virtua Fighter,SAT,NA,0.17
WWE SmackDown vs. Raw 2010,PS2,NA,0.53
Pro Evolution Soccer 2008,X360,NA,0.08
Super Princess Peach,DS,NA,0.72
NHL 99,PS,NA,0.59
SoulCalibur III,PS2,NA,0.74
Skylanders SWAP Force,PS3,NA,0.43
F1 2012,PS3,NA,0.12
World Tour Soccer,PSP,NA,0.1
Disney Universe,Wii,NA,0.67
Ridge Racer Revolution,PS,NA,0.17
LEGO Pirates of the Caribbean: The Video Game,X360,NA,0.54
Hot Wheels Turbo Racing,PS,NA,0.59
NCAA Football 99,PS,NA,0.59
Mortal Kombat: Armageddon,PS2,NA,0.88
Aliens vs Predator,X360,NA,0.55
Freekstyle,PS2,NA,0.52
Junior Brain Trainer,DS,NA,0.23
Darksiders,X360,NA,0.67
DiRT,PS3,NA,0.16
Call of Duty 4: Modern Warfare,DS,NA,0.96
Sega Superstars Tennis,Wii,NA,0.28
NBA Street V3,PS2,NA,0.52
Sleeping Dogs,PS3,NA,0.31
Mercenaries 2: World in Flames,X360,NA,0.65
Worms Armageddon,PS,NA,0.18
Hulk,PS2,NA,0.52
LEGO Indiana Jones: The Original Adventures,PS3,NA,0.44
NFL Blitz,N64,NA,1.02
NFL Quarterback Club 98,N64,NA,1.01
DJ Hero,X360,NA,0.56
Dora the Explorer: Dora Saves the Mermaids,DS,NA,0.97
Diablo II: Lord of Destruction,PC,NA,1.03
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,NA,0.39
Spider-Man 2,GBA,NA,0.76
Virtua Tennis 3,PS3,NA,0.23
Seek and Destroy,PS2,NA,0.52
Warhawk,PS3,NA,0.49
Apollo Justice: Ace Attorney,DS,NA,0.32
Assassin's Creed: Rogue,X360,NA,0.58
Cosmic Ark,2600,NA,0.99
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,NA,0.81
Skylanders: Trap Team,Wii,NA,0.42
Aliens vs Predator,PS3,NA,0.41
Defender,2600,NA,0.99
Dance on Broadway,Wii,NA,0.27
UFC Undisputed 3,PS3,NA,0.55
NBA 2K3,PS2,NA,0.51
Dragon Ball: XenoVerse,PS4,NA,0.3
The Simpsons: Road Rage,XB,NA,0.78
Dave Mirra Freestyle BMX,PS,NA,0.91
Imagine: Animal Doctor,DS,NA,0.45
WWE SmackDown vs. Raw 2010,X360,NA,0.56
Forza Motorsport,XB,NA,0.52
Sonic the Hedgehog,X360,NA,0.44
MySims Agents,Wii,NA,0.62
Monster Rancher 2,PS,NA,0.19
Pokemon Conquest,DS,NA,0.58
The Simpsons Game,X360,NA,0.54
Guinness World Records: The Videogame,Wii,NA,0.46
MVP Baseball 2003,PS2,NA,0.51
Dragon Ball Z: Budokai Tenkaichi 3,Wii,NA,0.33
Disney Tangled,DS,NA,0.58
Tales of Destiny,PS,NA,0.09
ATV: Quad Power Racing,PS,NA,0.58
Disney Fairies: Tinker Bell and the Lost Treasure,DS,NA,0.57
Mega Man X4,PS,NA,0.45
Naruto: Clash of Ninja 2,GC,NA,0.44
Dance Dance Revolution SuperNOVA,PS2,NA,0.87
Brink,X360,NA,0.59
F-Zero: Maximum Velocity,GBA,NA,0.39
Bomberman 64,N64,NA,0.5
Jeremy McGrath Supercross 98,PS,NA,0.91
LEGO Indiana Jones 2: The Adventure Continues,X360,NA,0.62
Project CARS,PS4,NA,0.17
Need for Speed: Most Wanted,XB,NA,0.53
Kirby: Mass Attack,DS,NA,0.52
LEGO Marvel Super Heroes,XOne,NA,0.61
ZhuZhu Pets,DS,NA,0.68
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,NA,0.34
MotorStorm: Arctic Edge,PSP,NA,0.16
WipEout Pure,PSP,NA,0.47
EA Sports UFC,PS4,NA,0.46
MX vs. ATV Unleashed,PS2,NA,0.86
Sonic Unleashed,PS3,NA,0.56
Tiger Woods PGA Tour 08,Wii,NA,0.94
Rayman Origins,PS3,NA,0.33
Epic Mickey 2: The Power of Two,Wii,NA,0.72
NCAA March Madness 2004,PS2,NA,0.5
Bomberman,NES,NA,0.18
The Simpsons Game,Wii,NA,0.45
Tomb Raider,PC,NA,0.96
Rock Band 2,Wii,NA,0.94
Street Fighter Alpha 3,PS,NA,0.38
Bulletstorm,X360,NA,0.61
FIFA Soccer 08,Wii,NA,0.32
Naruto: Clash of Ninja Revolution,Wii,NA,0.45
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,NA,0.87
ZombiU,WiiU,NA,0.53
Shrek 2,GC,NA,0.73
Petz: Catz 2,DS,NA,0.51
Tales of Graces f,PS3,NA,0.28
Final Fight 2,SNES,NA,0.39
Wall-E,Wii,NA,0.51
The Lost World: Jurassic Park,PS,NA,0.57
Ace Combat 6: Fires of Liberation,X360,NA,0.69
Madden NFL 07,XB,NA,0.97
Disney Infinity 2.0: Marvel Super Heroes,PS3,NA,0.44
Harry Potter and the Prisoner of Azkaban,PS2,NA,0.5
Pong: The Next Level,PS,NA,0.56
Bayonetta 2,WiiU,NA,0.34
Prince of Persia,X360,NA,0.54
God of War: Ghost of Sparta,PSP,NA,0.41
Sonic Generations,3DS,NA,0.44
Ninja Gaiden II,X360,NA,0.65
NBA Jam Tournament Edition,SNES,NA,0.87
Guitar Hero: Warriors of Rock,Wii,NA,0.48
Monster Rancher,PS,NA,0.12
The LEGO Movie Videogame,PS3,NA,0.33
DiRT 2,PS3,NA,0.27
Rayman Legends,PS4,NA,0.21
NERF N-Strike Elite,Wii,NA,0.93
Ford Racing 2,PS2,NA,0.49
Breath of Fire III,PS,NA,0.29
PES 2009: Pro Evolution Soccer,X360,NA,0.13
Dead or Alive 2,PS2,NA,0.3
1942,NES,NA,0.65
Excitebike 64,N64,NA,0.65
NES Open Tournament Golf,NES,NA,0.41
Game & Watch Gallery,GB,NA,0.63
SoulCalibur II,XB,NA,0.78
Haze,PS3,NA,0.49
UFC Undisputed 3,X360,NA,0.72
Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,NA,0.08
Road & Track Presents: The Need for Speed,PS,NA,0.56
NFL GameDay 2001,PS,NA,0.56
Killzone: Mercenary,PSV,NA,0.25
NBA Live 97,PS,NA,0.55
Dynasty Warriors 3: Xtreme Legends,PS2,NA,0.13
Zoo Tycoon DS,DS,NA,0.86
Rocksmith 2014,PS3,NA,0.51
Dead Space 3,PS3,NA,0.44
Wheel of Fortune,Wii,NA,0.89
Disney Infinity,PS3,NA,0.48
Dark Souls,X360,NA,0.64
Puzzler Collection,DS,NA,0.17
Jampack Winter 2000,PS,NA,0.55
Dead Space 3,X360,NA,0.64
Phoenix Wright: Ace Attorney,DS,NA,0.49
NFL Fever 2002,XB,NA,0.74
The Simpsons: Hit & Run,GC,NA,0.77
Littlest Pet Shop: Winter,DS,NA,0.59
Tom Clancy's Splinter Cell: Blacklist,X360,NA,0.57
Ace Combat X: Skies of Deception,PSP,NA,0.37
NCAA Football 12,X360,NA,0.94
LEGO Pirates of the Caribbean: The Video Game,PS3,NA,0.36
Band Hero,Wii,NA,0.6
Cars: Race-O-Rama,Wii,NA,0.61
Oddworld: Abe's Exoddus,PS,NA,0.55
EyePet,PS3,NA,0.35
Scooby-Doo! First Frights,Wii,NA,0.88
Midnight Club: LA Remix,PSP,NA,0.52
The Bouncer,PS2,NA,0.3
Guitar Hero: Aerosmith,PS3,NA,0.73
WWE SmackDown vs Raw 2008,Wii,NA,0.38
FIFA Soccer 10,Wii,NA,0.23
Shadow The Hedgehog,GC,NA,0.76
Fallout 3,PC,NA,0.02
Cars,DS,NA,0.85
Pro Evolution Soccer 2008,PSP,NA,0.02
Far Cry 3,PC,NA,0.21
Xenoblade Chronicles,Wii,NA,0.49
Just Dance 2014,X360,NA,0.72
Mario Party Advance,GBA,NA,0.5
Sonic & Sega All-Stars Racing,PS3,NA,0.36
Tetris 2,NES,NA,0.62
NASCAR 99,N64,NA,0.94
Kingdom Hearts Re:coded,DS,NA,0.56
South Park: The Stick of Truth,PS3,NA,0.42
Driver: San Francisco,PS3,NA,0.24
Sniper Elite V2,PS3,NA,0.38
Far Cry 4,X360,NA,0.45
Tom Clancy's Splinter Cell: Blacklist,PS3,NA,0.34
Pro Evolution Soccer 2014,PS3,NA,0.03
Madden NFL 16,X360,NA,0.82
Madden NFL 10,PS2,NA,0.88
Brutal Legend,X360,NA,0.62
Tamagotchi Connection: Corner Shop 2,DS,NA,0.09
Final Fantasy Type-0,PS4,NA,0.37
Madden NFL 08,PS3,NA,0.89
de Blob,Wii,NA,0.5
NCAA Football 06,XB,NA,0.73
Mass Effect 3,PC,NA,0.4
NBA 2K10,X360,NA,0.88
Fire Emblem,GBA,NA,0.49
Skylanders: Spyro's Adventure,X360,NA,0.53
Club Penguin: Game Day!,Wii,NA,0.56
NHL 2004,PS2,NA,0.47
Grand Theft Auto: Vice City Stories,PS2,NA,0.78
NBA 2K16,X360,NA,0.77
FIFA Soccer 2005,XB,NA,0.33
LEGO The Lord of the Rings,Wii,NA,0.52
Donkey Kong Junior,2600,NA,0.9
LEGO Star Wars II: The Original Trilogy,GC,NA,0.75
Final Fantasy X / X-2 HD Remaster,PSV,NA,0.21
Medal of Honor: Underground,PS,NA,0.54
The Sims 2,DS,NA,0.82
Dark Cloud 2,PS2,NA,0.38
Jampack Summer '99,PS,NA,0.54
PlayStation All-Stars Battle Royale,PS3,NA,0.5
Monster High: Ghoul Spirit,DS,NA,0.72
LEGO Pirates of the Caribbean: The Video Game,DS,NA,0.37
Gangs of London,PSP,NA,0.3
Mortal Kombat Trilogy,N64,NA,0.72
Star Soldier,NES,NA,0.32
Sonic Unleashed,X360,NA,0.54
Lost Planet 2,PS3,NA,0.29
NHL 2001,PS2,NA,0.47
My Weight Loss Coach,DS,NA,0.3
Tom Clancy's Ghost Recon: Future Soldier,PS3,NA,0.41
Mega Man Star Force Dragon / Leo / Pegasus,DS,NA,0.39
Shinobi,PS2,NA,0.36
Mortal Kombat: Deadly Alliance,XB,NA,0.77
