game_title,score,source
Alien,7.9,"Sparks, Carter and Johnson"
Dragon Ball Z: Budokai Tenkaichi 2,7.9,Miller-Smith
The Walking Dead: Season One,7.8,Kim Inc
Final Fantasy Tactics A2: Grimoire of the Rift,8.3,Weaver-Short
Harvest Moon: A Wonderful Life,8.9,Booker-Watson
Momotarou Dentetsu 7,5.3,Soto and Sons
Invizimals,9.7,Brown Ltd
Motocross Mania,6.7,Woods-Stevenson
Star Wars The Clone Wars: Jedi Alliance,7.6,"Martin, Berg and Davis"
Mega Man 5,8.5,"Curry, Bridges and Moore"
Star Ocean: The Last Hope,8.3,Leonard-Huffman
Dance Dance Revolution SuperNOVA 2,7.7,"Mcdonald, Alexander and Chavez"
Armored Core 2,6.8,Ferguson Group
Ghost Squad,9.4,Howard-Davis
Dead Island: Riptide,5.1,"Phillips, Peterson and Morales"
Drawn to Life,9.3,"Thompson, Johnson and Fields"
Major League Baseball Featuring Ken Griffey Jr,9.4,"Ramos, Mason and Ware"
Too Human,6.1,"Tran, Flores and Watkins"
NCAA Football 08,9.8,Fletcher Ltd
Personal Trainer: Walking,6.4,Lowe-Brooks
PokePark 2: Wonders Beyond,5.2,Dixon-Johnson
Professor Layton and the Azran Legacy,9.5,Booth-Reed
Tom Clancy's Splinter Cell: Double Agent,6.0,"Lee, Kidd and Ponce"
Yars' Revenge,7.9,Jones-Wilson
Lips,9.4,"Garner, Gallegos and Simmons"
Secret Agent Barbie: Royal Jewels Mission,9.7,Silva LLC
Metroid Prime Hunters,7.0,Keller-Mason
The 7th Guest,8.9,Davis-Murphy
Doom,6.3,Cook LLC
Buzz! The Hollywood Quiz,5.1,Madden Group
Puzzler World,6.5,Miller and Sons
My Little Pony: Pinkie Pie's Party,8.5,Nguyen LLC
We Sing,8.7,Smith PLC
Marvel vs. Capcom: Clash of Super Heroes,7.2,Price Inc
God of War Saga,6.3,"Oconnor, Suarez and Brooks"
Battle Stations,5.8,"Hill, Jennings and Ford"
Tetris Party Deluxe,7.4,Lopez and Sons
Pro Evolution Soccer 2016,9.2,"White, Morton and Miller"
Worms: Open Warfare,5.6,Moran-Martin
Star Wars Battlefront: Elite Squadron,10.0,"Cox, Francis and Madden"
UFC Personal Trainer: The Ultimate Fitness System,8.6,Garza PLC
NBA 2K7,6.6,Mcintosh-Lewis
Torneko no Daibouken: Fushigi no Dungeon,6.0,"Wright, Wood and Martinez"
Jr. Pac-Man,6.4,White Inc
Banjo-Kazooie: Nuts & Bolts,7.1,Black PLC
NBA ShootOut 98,6.3,"Hoffman, Sutton and Walker"
Harry Potter and the Half-Blood Prince,5.1,Griffin Group
Perfect Dark Zero,5.2,"Jones, Hancock and Moreno"
Galaxian,7.8,"Lee, Peterson and Herring"
Andretti Racing,5.2,Erickson Group
Caesars Palace 2000: Millennium Gold Edition,8.6,Bright Group
Air Raid,8.5,Lawrence Ltd
Freedom Wars,5.2,Watts Inc
Marvel Nemesis: Rise of the Imperfects,6.0,Russell-Kennedy
Boxing,7.1,Martin PLC
Need for Speed: Porsche Unleashed,6.8,Edwards-Prince
Dragon Ball: Raging Blast,5.1,Hernandez Group
Crystal Castles,8.6,"Ford, Steele and Montgomery"
Conker's Bad Fur Day,7.1,Martinez Inc
Dragon Warrior I&II,7.0,Black-Fields
Star Wars Episode II: Attack of the Clones,6.4,Thompson LLC
My Baby Girl,9.0,"Mendez, Thompson and Harper"
Twisted Metal: Head On,5.7,Bullock LLC
Conflict: Desert Storm II - Back to Bagdhad,5.2,Moore Group
Maximo: Ghosts to Glory,9.6,"Garcia, George and Foster"
Pokemon Dash,9.1,"Hodges, Johnston and Dean"
Donkey Kong Country 3,8.1,Weber LLC
All-Star Baseball 2003,5.8,"Brown, Conley and Gordon"
Unlimited Saga,7.8,"Carroll, Marshall and Davis"
Cabela's Deer Hunt: 2004 Season,6.8,Wade Group
Formula 1,8.5,"Mcdonald, Bailey and Peterson"
Raving Rabbids: Travel in Time,6.6,Gilmore Ltd
Mercenaries: Playground of Destruction,5.6,Franklin-Cline
MTV Celebrity Deathmatch,6.4,Summers-Snyder
Street Fighter Alpha: Warriors' Dreams,5.1,Clark LLC
ISS Pro Evolution,6.1,"Nelson, Martin and Kent"
SoulCalibur V,5.2,Reynolds-Walker
Super Monkey Ball: Touch & Roll,5.2,Mitchell and Sons
Pro Evolution Soccer 2015,9.8,Smith LLC
Drawn to Life: The Next Chapter,7.4,Mcgrath-Padilla
The Lord of the Rings: Conquest,7.1,Franco-Rasmussen
Taiko no Tatsujin: Tatakon de Dodon ga Don,9.6,"Lucas, Williams and Meyer"
Mega Man Battle Network 6: Cybeast Falzar / Gregar,8.2,Chen-Mitchell
Syphon Filter: The Omega Strain,9.7,Kelley Inc
Deer Drive,6.2,Webster-Tate
Kane & Lynch: Dead Men,7.1,"Holland, Huff and Jones"
Ace Attorney Investigations: Miles Edgeworth,5.1,Gonzalez-Banks
That's So Raven,6.9,Clark-Thomas
Marvel vs. Capcom 2: New Age of Heroes,6.4,Gray Inc
True Crime: New York City,7.5,Chen-Smith
Legends of Wrestling,7.1,"Butler, Horton and Wilson"
Monopoly Streets,7.7,"Patel, Smith and Knight"
Genji: Days of the Blade,8.9,"Jackson, Wilkerson and Andrews"
Harvest Moon: Animal Parade,7.8,"Wong, Jordan and Logan"
Final Fantasy Legend III,9.6,Oconnor-Valencia
Total War: Rome II,7.0,Campbell Ltd
Rare Replay,5.9,Morris-Martinez
Spectrobes,9.9,Buchanan-Schroeder
Mega Man X5,7.6,Delgado-Gill
Tearaway,6.4,Fuller and Sons
Turok,10.0,Lewis-Olsen
Shark Tale,8.2,Wilson-Fitzgerald
San Francisco Rush: Extreme Racing,9.6,Robinson Ltd
Zone of the Enders,5.2,"Sawyer, Miller and Oliver"
Street Fighter EX Plus Alpha,6.2,"Shah, Mccarthy and Wilson"
Coded Arms,6.9,"Mcconnell, Moore and Moore"
Tales of Vesperia,7.8,Green LLC
X-Men Origins: Wolverine - Uncaged Edition,9.1,Davidson and Sons
Madagascar: Escape 2 Africa,6.8,Cervantes-Richardson
Split/Second,7.1,Williams-Berry
Capcom vs. SNK 2: Mark of the Millennium 2001,9.9,"Mcmahon, Gardner and Turner"
MVP 06 NCAA Baseball,6.3,Jennings Inc
Borderlands: The Pre-Sequel,8.5,Lee-Davis
Ace Combat: Assault Horizon,8.4,Flores-Blake
Jump Ultimate Stars,9.7,"Mckenzie, Morris and Willis"
Jampack Summer 2001,5.4,"Smith, Adams and Harding"
Resonance of Fate,8.1,"Frost, Edwards and Smith"
Burnout,9.9,"Wyatt, Buck and Wyatt"
Mortal Kombat: Unchained,9.2,Thompson LLC
Mario & Luigi: Paper Jam,6.8,Ramos Inc
Yu-Gi-Oh! Dungeon Dice Monsters,7.1,Reid-Tran
Blur,9.2,"Gonzalez, Smith and Martin"
Namco Museum Remix,7.2,Santos and Sons
Tiger Woods PGA Tour 2001,9.7,West LLC
Indiana Jones and the Staff of Kings,6.8,"Davenport, Bautista and French"
Jet Moto 3,5.7,Figueroa-Garcia
Naruto Shippuden: Ultimate Ninja Storm Generations,8.4,Heath-Avila
Unreal Championship,9.5,Peterson Group
WarioWare: Twisted!,9.5,Jones Inc
Pirates of the Caribbean: At World's End,5.2,"Gonzalez, Chapman and James"
Persona 4: Arena,9.1,"Cooley, Rice and Smith"
Sword of Mana,8.6,Johnson-Reynolds
Harvest Moon DS: Island of Happiness,10.0,Davis Ltd
Star Ocean: The Last Hope International,6.8,"Smith, Duncan and Gross"
FIFA: Road to World Cup 98,9.1,Wilson LLC
Dragon Ball Z: Ultime Menace,6.8,"Davis, Smith and Perez"
Classic NES Series: Donkey Kong,8.5,Merritt PLC
Kirby: Canvas Curse,8.4,"Davis, Johnson and Rojas"
Croc 2,5.9,Cruz-Boyle
Practise English!,6.3,"Hart, Reed and Santiago"
Oddworld: Munch's Oddysee,6.1,Zhang Inc
Berzerk,8.5,Romero-Gray
NHL 11,7.8,"Moss, Lee and Contreras"
iCarly,8.0,"Martin, Miller and Roberts"
Just Dance Wii,6.7,"Bass, Allen and Hendrix"
Full Spectrum Warrior,5.3,"Norris, Cunningham and Cox"
Katamari Damacy,9.0,Medina Group
Beyblade VForce: Ultimate Blader Jam,7.2,Hatfield Ltd
Ratchet & Clank Collection,6.2,Torres PLC
Shaun Palmer's Pro Snowboarder,7.0,Lane-Kramer
Imagine: Interior Designer,9.7,"Luna, Powell and Morris"
Style Savvy: Trendsetters,9.6,Allen-Chang
XCOM: Enemy Unknown,5.6,Rodriguez PLC
Ultimate Spider-Man,5.8,Michael PLC
God Eater,7.3,Graves-Oneill
SD Gundam G Generation,5.9,"Whitney, Gross and Owens"
Area 51,8.1,Tapia-Zamora
NBA Live 08,7.9,Allen Ltd
Tiger Woods PGA Tour 07,7.2,"Burns, Davis and White"
Test Drive 6,7.4,Bennett-Lambert
Kouchuu Ouja Mushi King,6.3,Meyer-West
Major League Baseball 2K7,8.2,Marquez LLC
X-Men: Mutant Academy 2,7.4,Rivers-Robinson
Terraria,6.8,Brown-Skinner
Jampack Winter 2001,7.4,"Day, Lamb and Spencer"
Kangaroo,5.9,"Graves, Brown and Davis"
James Bond 007: Blood Stone,8.8,Hayden-Molina
Skate,9.1,"Yates, Watson and Wilson"
Super Monkey Ball Jr.,8.0,Terry-Carrillo
MLB 09: The Show,6.5,Boyd-Mcintosh
Mobile Suit Gundam: Encounters in Space,8.0,"Wallace, Berger and Cabrera"
Catherine,9.7,"Jones, Mcgrath and Jones"
Fear Effect,5.9,"Howard, Hancock and Johnson"
Crysis,6.0,Park-Gonzalez
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,7.4,Krause and Sons
MLB 13: The Show,6.6,Jones LLC
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,5.9,Garcia PLC
Virtua Fighter 4: Evolution,5.5,"Small, Bartlett and Rowe"
Top Spin 4,6.2,"Hines, Anderson and Brown"
Resident Evil: Survivor,5.6,"Gomez, Bailey and Perez"
Dynasty Warriors 6,8.3,"Miller, Reyes and Mccormick"
Super Trucks Racing,7.6,"Henderson, Leach and Best"
Persona Q: Shadow of the Labyrinth,8.7,Francis Inc
Godzilla: Destroy All Monsters Melee,9.7,Hughes PLC
Jeremy McGrath Supercross 2000,8.7,Rivera-Johnson
Conker: Live And Reloaded,6.1,Gray-Graves
Silent Hill 3,8.8,Castro-Suarez
Final Fantasy X/X-2 HD Remaster,9.1,Blackburn PLC
Yu-Gi-Oh! The Falsebound Kingdom,6.5,Davis Ltd
LEGO Rock Band,5.6,Jones-Harris
MLB 10: The Show,6.6,Chambers-Hernandez
Scooby-Doo 2: Monsters Unleashed,8.5,Nguyen PLC
Power Rangers: Dino Thunder,9.8,"Mendez, Gates and Banks"
Rhythm Heaven: The Best+,7.4,"Levy, Hernandez and King"
LEGO Racers,8.7,Avery-Davis
Blast Corps,6.3,Richardson-Maldonado
Tactics Ogre: Let Us Cling Together,7.8,"Barrett, Stewart and Dunn"
"WarioWare, Inc.: Mega Party Game$",9.7,Marshall-Burgess
Football Manager 2014,8.2,Brown-Horn
Battle Arena Toshinden 2,7.0,Walsh Group
Jeopardy!,7.9,Jones-Jensen
Two Worlds,9.0,"Garcia, Scott and Gillespie"
Doom 3: Resurrection of Evil,5.8,Fernandez PLC
NCAA Football 09,5.4,Scott LLC
NBA Live 09,9.4,Curtis-Thornton
Ratchet & Clank: Into the Nexus,9.6,Collins-Ortiz
2014 FIFA World Cup Brazil,9.1,Parker PLC
London 2012: The Official Video Game of the Olympic Games,6.0,Blair and Sons
NHL 12,9.2,Drake-Sparks
Infinite Undiscovery,5.4,"Garza, Jacobson and Guerra"
Super Bomberman 3,5.9,"Anderson, Horton and Bartlett"
Command & Conquer: Red Alert Retaliation,9.7,Warner-Phillips
The Sims 2: Apartment Pets,6.5,Valenzuela-Gordon
Star Wars: Obi-Wan,5.9,"Alexander, Snyder and Johnson"
Kill.Switch,6.2,"Chavez, Price and Thornton"
Lalaloopsy,6.1,Graham and Sons
F-14 Tomcat,6.7,"Parsons, Garcia and Rivera"
SplashDown,7.5,Miller PLC
NCAA Football 98,8.8,"Wyatt, Carpenter and Lopez"
Jade Empire,7.7,Jacobs-Odonnell
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",9.9,Wheeler-Cardenas
Prince of Persia: The Forgotten Sands,5.8,"Jenkins, Macias and Hansen"
Chocobo's Dungeon 2,6.7,Barnett-Espinoza
Advance Wars,7.1,"Warner, Yoder and Gross"
Hannah Montana: The Movie,7.9,Campbell Inc
World of Zoo,9.0,Johnson-Ross
Ape Escape: On the Loose,5.5,"Brown, Young and Lucas"
IL-2 Sturmovik: Birds of Prey,9.7,Burton Group
Book of Spells,7.6,Pierce-Cruz
NCAA Football 2001,9.5,Guzman-Turner
Mafia,7.7,Jones-Johnson
Mobile Suit Gundam: Journey to Jaburo,6.0,Rogers-Romero
TimeSplitters 2,7.1,"Taylor, White and Johnson"
MotionSports,9.5,"Flores, Elliott and Reed"
MLB 08: The Show,8.7,"Dunn, Wilson and Nelson"
Classic NES Series: Zelda II: The Adventure of Link,9.9,"Hall, Contreras and Bennett"
Fire Emblem: Monsh? no Nazo,8.7,"Moore, Russo and Arnold"
Disney's Chicken Little,6.5,Scott-Smith
King Kong,9.7,Robinson-Deleon
Metal Gear Solid: Portable Ops Plus,9.0,Gomez-Frazier
Shrek the Third,5.7,Butler-Brooks
Test Drive Unlimited 2,8.1,"Alexander, Vasquez and Rodriguez"
Moto Racer 2,9.1,Perez-Smith
Halo 2 Multiplayer Map Pack,6.2,Garrett PLC
Mortal Kombat: Shaolin Monks,8.1,Martinez and Sons
MX vs. ATV Unleashed: On the Edge,5.2,"Campbell, Hunt and Rice"
Mario Pinball Land,9.9,"Hall, Arnold and Huber"
Mappy,6.8,Davis and Sons
J-League Soccer: Prime Goal,6.3,"Wells, Mullen and Owens"
NFL Xtreme,6.7,Taylor-Meyer
The Sly Collection,5.6,Davenport-Chapman
One Piece: Pirate Warriors 2,5.0,"Roth, Young and Wells"
Need for Speed: Shift 2 Unleashed,9.5,"Bowen, Stewart and Cooper"
Nintendo Presents: New Style Boutique 2 - Fashion Forward,5.7,"Guerrero, Gomez and Garrison"
MX vs. ATV Untamed,7.1,"Williams, Nunez and Hodges"
The Last Remnant,5.7,Evans-Donovan
Frozen: Olaf's Quest,9.5,Cervantes-Lynch
The Sims: Medieval,8.3,Smith Group
Baldur's Gate: Dark Alliance II,10.0,"Williams, Howard and Jones"
Kirby's Dream Collection: Special Edition,9.9,Guerra-Lara
Star Wars: Masters of Teras Kasi,8.9,Dean-Price
The Last Story,6.0,"Byrd, Carrillo and Young"
Iron Man,9.3,"Rowe, Fisher and Woodward"
Disney Infinity 3.0,7.3,Graham-Rhodes
Mortal Kombat Mythologies: Sub-Zero,6.9,Horne LLC
Naruto: Clash of Ninja,5.6,"Green, Owens and Mcdonald"
Prince of Persia: The Two Thrones,5.3,Rios-Quinn
Hot Shots Golf: Open Tee 2,8.9,Herrera-Walker
Metro: Last Light,9.5,Lopez-Ramos
Fossil Fighters: Champions,6.7,Horton Ltd
Sniper Elite 3,8.9,Johnson Inc
Bushido Blade 2,5.3,Heath Group
Suikoden II,8.4,Rodriguez LLC
Cars: Mater-National Championship,7.7,"Norris, Lee and Kennedy"
Hidden Objects: Mystery Stories,5.3,"Allen, Martinez and Porter"
Red Steel,5.2,Barker-Aguilar
Tourist Trophy: The Real Riding Simulator,8.1,Torres PLC
.hack//Mutation Part 2,9.8,"Carter, Butler and Kane"
Country Dance,9.4,"Martinez, Mendoza and Jackson"
Midway Arcade Treasures 2,8.2,Barker Inc
100 Classic Books,5.5,Brennan-Santiago
Unreal Tournament III,9.1,Doyle-Ford
Final Fantasy Crystal Chronicles: Ring of Fates,6.0,Nunez-Short
Return to Castle Wolfenstein: Tides of War,9.2,Stevens-Harris
Lollipop Chainsaw,6.5,Grant LLC
The Darkness,9.7,"Weaver, Chavez and Brown"
Street Sk8er,8.2,Zhang PLC
Club Penguin: Elite Penguin Force - Herbert's Revenge,6.2,"Collins, Roberts and Miller"
Contra: Legacy of War,9.8,Roach Group
Fight Night Round 2004,6.1,Coleman Inc
The Biggest Loser: Challenge,8.8,"Robinson, Payne and Christian"
Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,8.9,Williams LLC
Spice World,5.4,Barker LLC
Star Wars: Republic Commando,5.2,Rose-Olsen
Armored Core 3,7.7,"Cooper, Crawford and Smith"
Taiko no Tatsujin Wii,7.9,Weiss-Campbell
Virtua Tennis: World Tour (US & Others sales),6.3,"Savage, Lewis and Williams"
RIFT,6.6,Acevedo-Reid
Wild ARMs 2,9.3,Turner-Freeman
Summer Sports: Paradise Island (Others sales),5.7,Wright Ltd
TV Show King Party,8.0,Hall-Knight
Crafting Mama,9.3,Wilkinson-Raymond
Command & Conquer: Red Alert 3,7.1,Rollins-Hernandez
The Fairly Odd Parents: Breakin Da Rules,7.4,Rojas Ltd
Peppa Pig: Fun and Games,5.5,Horne Inc
Adventures of Tron,7.4,Martinez and Sons
Phoenix Wright: Ace Attorney - Trials and Tribulations,8.1,Thomas Ltd
NHL 13,8.5,Moore LLC
The Sims 3: High-End Loft Stuff,8.2,Brady-Mendez
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",8.0,Burke Ltd
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,6.5,Avila Inc
Pro Pinball: Big Race USA,6.5,Cannon-Schmitt
Tony Hawk's Proving Ground,7.0,Francis-Wilson
MLB 2004,9.4,Williams-Shields
Naruto Shippuden: Ultimate Ninja 4,6.0,Lee Ltd
Tiger Woods PGA Tour 2000,5.4,Baker Group
Darkstone,9.5,Reeves Ltd
NCAA March Madness 2003,5.3,Schmidt-Cummings
Thrillville,8.4,"Lyons, Carter and Dominguez"
NHL 10,5.6,Schultz-Diaz
Jikkyou World Soccer 2000 Final Edition,7.4,Collins-Flores
Puzzler Brain Games,7.5,Hayes LLC
Dragon Quest Monsters: Caravan Heart,9.1,Webb-Wilson
Strawberry Shortcake: Summertime Adventure,8.2,"Wallace, Williams and Barber"
Street Fighter Anniversary Collection,7.7,Jones LLC
Legend of Legaia,5.9,Owens PLC
Napoleon: Total War,8.6,"Powers, Cook and Smith"
Fist of the North Star: Ken's Rage,6.7,Reese-Garcia
Wario: Master of Disguise,9.0,"Crane, Martin and Hinton"
Tiger Woods PGA Tour 09,8.1,Rodgers Inc
Keystone Kapers,9.0,Graham LLC
New Play Control! Pikmin,5.7,"Brown, West and Howard"
Shrek: Hassle at the Castle,8.1,Moore-Chapman
Suikoden IV,8.9,Sanchez-Cooley
Gods Eater Burst,8.8,Bennett PLC
Disney's Kim Possible 2: Drakken's Demise,9.4,Logan-Rodriguez
Um Jammer Lammy,8.0,"Davis, Salazar and Snyder"
Brothers In Arms: Road to Hill 30,5.4,Cohen Group
Taiko no Tatsujin DS: Touch de Dokodon!,9.8,"Baldwin, Hanna and Cole"
F1 2015,9.8,Cole Inc
Scene It? Box Office Smash,7.2,Taylor-Johnson
Animaniacs Ten Pin Alley,6.5,"Smith, Thomas and Carter"
Radiata Stories,5.2,Clark-Gallegos
F-Zero GX,6.4,Wright Inc
Yoshi Topsy-Turvy,8.5,Gonzalez-Rodgers
Up,9.2,Vargas-Lee
Monster Jam: Maximum Destruction,8.2,Frank Inc
Real Heroes: Firefighter,8.9,White Inc
Cartoon Network Block Party / Cartoon Network Speedway Double Pack,9.3,"Stevens, Davenport and Martinez"
World of Dragon Warrior - Torneko: The Last Hope,8.2,"Harmon, Mason and Delgado"
MLB 14: The Show,7.0,Pierce PLC
Advance Wars 2: Black Hole Rising,5.1,Gutierrez Ltd
Fire Emblem: Shadow Dragon,9.8,Tran-Tucker
Drakengard,9.4,"Walker, Crawford and Hernandez"
SingStar Pop Hits,7.0,Christensen-Lamb
Kung-Fu Master,7.4,James-Peterson
Champions: Return to Arms,7.3,Nguyen-Jimenez
Harry Potter and the Goblet of Fire,5.9,Jimenez Inc
SingStar R&B,8.8,Robinson-Nunez
Mary-Kate and Ashley: Magical Mystery Mall,5.1,Solomon Group
Disney Sing It: Party Hits,7.6,"Austin, Kemp and Ruiz"
Dead or Alive 5,5.3,Peterson PLC
Star Ocean: First Departure,6.6,"Fisher, Lewis and Brooks"
Super Robot Taisen Impact,9.3,"Jackson, Navarro and Kent"
The Black Eyed Peas Experience,6.5,Sanchez-Evans
Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,9.3,"Gibson, Moore and Vargas"
Sengoku Basara: Samurai Heroes,5.6,"Lang, Fowler and Johnson"
Paws & Claws: Pet Vet,7.8,Whitaker-Payne
Crash Bandicoot Purple: Ripto's Rampage,6.5,Coffey-Richards
Spyro: A Hero's Tail,9.3,"Jackson, Day and Ware"
Crash of the Titans,9.8,"Powell, Hernandez and Walters"
Crash: Twinsanity,8.2,Morales Ltd
GoldenEye: Rogue Agent,8.8,Small Group
Rayman 3D,6.1,Fitzgerald-Green
LEGO Marvel's Avengers,5.4,Davis and Sons
X2: Wolverine's Revenge,5.8,Moore and Sons
Stuntman: Ignition,7.6,"Parker, Jones and Powell"
NBA Live 06,6.6,Lewis-Mckenzie
Rayman 2: The Great Escape,5.6,"Johnson, Williams and Humphrey"
Nicktoons Collection: Game Boy Advance Video Volume 1,8.0,Wilson-Davis
Onimusha: Dawn of Dreams,9.8,"Harrison, Murphy and Baker"
NieR,7.7,"Chen, Townsend and Lopez"
The Princess and the Frog,6.2,Hess Inc
Sega Rally Revo,9.3,Sparks-Weaver
SpongeBob SquarePants: Game Boy Advance Video Volume 1,6.0,Bridges-Garza
Gravity Rush,5.2,Leonard LLC
Konami Collector's Series: Arcade Advanced,6.3,"Wyatt, Harris and Santos"
White Knight Chronicles II,9.9,Gardner-Gonzales
Wolfenstein,7.9,"Edwards, Perez and Moore"
Jampack Volume 13 (RP-T),8.2,Peters-Chase
LEGO Dimensions,8.6,"Sanchez, Herrera and Wright"
Start the Party!,7.0,"Oliver, Harmon and Martin"
Cruis'n World,9.9,Green PLC
The Walking Dead: Survival Instinct,8.3,"Williams, Huynh and Morton"
Donkey Kong Barrel Blast,6.9,Ford-Harper
Okami,7.9,Brown Inc
Lemony Snicket's A Series of Unfortunate Events,7.1,Baker-Chandler
Family Feud: 2010 Edition,7.4,Beck-Proctor
Red Steel 2,8.1,Juarez and Sons
X-Men Legends II: Rise of Apocalypse,8.1,Hays Group
Nightmare Creatures,8.6,Walker-Fitzpatrick
SingStar Queen,7.0,"Thompson, White and Fowler"
F1 2013,8.0,Flores-Smith
Juiced 2: Hot Import Nights,8.2,Boyd-York
Tony Hawk's Pro Skater 2x,9.2,Lawson Ltd
Monster Hunter 2,7.2,Arnold PLC
NASCAR 06: Total Team Control,5.5,Walton-Herring
Dogz,6.0,Sexton Inc
Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,6.0,Stephens-Santos
Super Castlevania IV,5.6,"Wilson, Meyer and Murphy"
Angry Birds Trilogy,7.1,"Brown, Young and Clark"
Condemned 2: Bloodshot,5.8,Williams-Craig
Cabela's Big Game Hunter (2008),5.6,"Johnson, Wheeler and Lewis"
Mobile Suit Z Gundam: AEUG vs. Titans,6.2,Walker-Johnson
Ape Escape 2,9.7,Cantrell-Carroll
Metroid Prime: Trilogy,6.3,Miller-Christian
X-Man,6.5,"Mitchell, Hernandez and Wu"
Advance Wars: Days of Ruin,9.9,Cordova-Preston
The Sims 3: Generations,7.1,"Baker, Lopez and Chavez"
Battle of Giants: Dragons,5.5,Davis Group
Dragon Quest Monsters Joker 3,6.8,Moore PLC
Sonic & All-Stars Racing Transformed,6.4,Harmon-Newton
Shin Megami Tensei: Persona 3 FES,7.1,Arellano-Watson
FIFA Soccer 2002,9.0,"Norris, Williams and Gonzalez"
Shin Megami Tensei: Persona 3 Portable,8.6,Carpenter LLC
Final Fantasy VII International,5.5,Garcia PLC
Wet,9.9,Smith Ltd
MySims Racing,6.6,Greer Group
Buzz Lightyear of Star Command,6.2,Griffith Ltd
Nobunaga no Yabou: Haouden,8.1,Beck Group
Virtua Cop,5.7,Boone-Brown
Metal Gear Solid 2: Substance,9.3,Tran-Davidson
Tony Hawk's American Wasteland,8.0,Lewis Group
WWF in Your House,7.0,"Bell, Smith and Mullins"
Vanquish,8.8,Ryan-Jordan
Wild ARMs 3,10.0,Nguyen-Mcguire
NBA ShootOut '97,7.5,"Bennett, Newman and Howard"
Sacred 2: Fallen Angel,8.5,Mitchell Ltd
Battlezone,8.5,"Bauer, Hines and Martinez"
Tak 2: The Staff of Dreams,7.6,Jenkins-Scott
Warriors Orochi 3,6.0,Curtis-Sharp
Bolt,5.1,Lawson-Stewart
Viewtiful Joe,8.5,Guerrero-Cohen
Beetle Adventure Racing!,6.5,Singh-Evans
FIFA Soccer,6.8,"Smith, Burnett and Vasquez"
Disney's 102 Dalmatians: Puppies to the Rescue,7.0,Sanders-Bowers
Strike Force Bowling,6.2,Lopez-Garcia
Halloween,9.1,"Pierce, Dean and Robinson"
Dragon Ball Z: Ultimate Tenkaichi,6.5,Morse-Harper
Bass Landing,9.3,Mitchell-Nelson
XGRA: Extreme G-Racing Association,5.7,Taylor PLC
Mario's Picross,5.2,"Wilson, Chase and Payne"
Pac-Man Player's Choice Bundle,6.7,Burton LLC
Fighters MEGAMiX,8.6,Bailey-Day
Bahamut Lagoon,7.4,Hammond-Edwards
Toshochu: Run for Money,8.3,Tate Ltd
Dragon Quest Monsters: Joker 2 Professional,6.7,Blankenship PLC
NFL Quarterback Club 99,7.2,Chapman-Bell
Super Robot Taisen α Gaiden,9.5,"Barber, Avila and Smith"
Formula 1: Championship Edition,7.0,Roberts LLC
Muramasa: The Demon Blade,6.9,Munoz-Robinson
SingStar Singalong With Disney,6.6,"Bennett, Jones and Martinez"
NHL 16,8.7,"Montgomery, Stephens and Wagner"
NFL Fever 2003,7.3,Rodgers LLC
Samurai Warriors 2,5.1,"Lawson, Ford and Gonzales"
Dynasty Warriors 8,7.7,Jensen and Sons
Disney Sing It: Family Hits,6.6,Wolfe and Sons
2 Games in 1: Sonic Battle & ChuChu Rocket!,5.9,Joseph and Sons
Robotech: Battlecry,8.7,"Jones, Wells and Smith"
Dora the Explorer: Super Spies,8.3,"Banks, Delgado and Brown"
New Carnival Games,9.2,Franklin-Tate
Cooking Mama 4: Kitchen Magic!,8.2,"Hernandez, Wallace and Alvarado"
Texas Hold 'Em Poker,5.4,"Anderson, Sampson and Wells"
Time Crisis 3,8.3,Powell-Walker
Cabela's Monster Buck Hunter,9.2,Kim-Berry
Ganbaru Watashi no Kakei Diary,9.4,"Stokes, Nelson and Murphy"
New Play Control! Donkey Kong Jungle Beat,9.5,Gonzales-Simmons
Small Soldiers,6.2,Allen-Burton
Yakuza: Dead Souls,8.4,"Shaw, Gay and Vasquez"
Littlest Pet Shop: Garden,8.6,Mason-Stewart
Duke Nukem: Total Meltdown,7.2,Knox-Krueger
Pac-Man Party,6.7,Smith Group
Jak and Daxter: The Lost Frontier,5.3,"Chaney, Dorsey and Gonzalez"
Major League Baseball 2K8,6.6,Garcia PLC
SimCity DS,5.4,Cervantes LLC
Major League Baseball 2K9,9.3,Martin PLC
Petz: Dogz Pack,6.8,"Peters, Harris and Richards"
Final Fantasy IV Advance,5.3,"Hughes, Dunn and Rose"
Tomb Raider Chronicles,8.1,"Brooks, Mccann and Nash"
Dragon Ball Z: Buu's Fury,8.6,Horn-Garcia
Guitar Hero: Smash Hits,9.6,"Castillo, Ferguson and Mills"
Disney TH!NK Fast: The Ultimate Trivia Showdown,6.4,Li-Le
