title,publisher_name,genre_name,year
Reel Fishing III,Natsume,Sports,2003
Cabela's Deer Hunt 2005 Season,Activision,Sports,2004
High Heat Major League Baseball 2003,3DO,Sports,2002
Super Formation Soccer 94,Human Entertainment,Sports,1994
Panzer Dragoon,Sega,Shooter,1995
Yarudora Series Vol.1: Double Cast,Sony Computer Entertainment,Adventure,1998
Rec Room Games,Destineer,Sports,2009
Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,ChunSoft,Role-Playing,2000
Turok: Rage Wars,Acclaim Entertainment,Shooter,1999
Scooby-Doo! Classic Creep Capers,THQ,Action,2000
Dragonfire,Imagic,Action,1981
Custom Robo,Nintendo,Role-Playing,2004
Command & Conquer: Red Alert 3 Ultimate Edition,Electronic Arts,Strategy,2009
Medieval II: Total War Gold Edition,Sega,Strategy,2008
Pac-Man World 2,Nintendo,Action,2002
Kotoba no Puzzle: Mojipittan DS,Namco Bandai Games,Puzzle,2007
Barbie Horse Adventures: Blue Ribbon Race,Knowledge Adventure,Sports,2003
Bionic Commando,Capcom,Platform,2009
Wanted: Weapons of Fate,Warner Bros. Interactive Entertainment,Shooter,2009
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,Square Enix,Adventure,2003
Dishonored,Bethesda Softworks,Action,2015
NFL Street 2 Unleashed,Electronic Arts,Sports,2005
Super Robot Taisen EX,Banpresto,Strategy,1994
FIFA Street 2,Electronic Arts,Sports,2006
Bottom of the 9th,Konami Digital Entertainment,Sports,1999
Theatrhythm Final Fantasy: Curtain Call,Square Enix,Misc,2014
Trauma Center: Under the Knife,Nintendo,Simulation,2005
Shin Megami Tensei II,Atlus,Role-Playing,1994
Xenosaga Episode III: Also sprach Zarathustra,Namco Bandai Games,Role-Playing,2006
Build-A-Bear Workshop: A Friend Fur All Seasons,Game Factory,Simulation,2008
Sid Meier's Civilization: Beyond Earth,Take-Two Interactive,Strategy,2014
Virtua Fighter 3tb,Sega,Fighting,1998
Transformers: Dark of the Moon,Activision,Action,2011
Mini-Yonku GB: Let's & Go!!,ASCII Entertainment,Strategy,1997
Left 4 Dead 2,Valve Software,Shooter,2009
My Horse & Me,Atari,Sports,2007
Zero4 Champ RR,Media Rings,Sports,1994
Dragon Ball Z: Infinite World,Namco Bandai Games,Fighting,2008
Nonomura Byoin no Hitobito,Elf,Adventure,1996
ESPN X Games Skateboarding,Konami Digital Entertainment,Sports,2001
Resident Evil Zero,Capcom,Action,2016
Super Fire ProWrestling Special,Human Entertainment,Fighting,1994
Yuu Yuu Hakusho,Namco Bandai Games,Fighting,1993
Kamaitachi no Yoru 2,ChunSoft,Adventure,2002
High Heat Major League Baseball 2004,3DO,Sports,2003
Robots,Vivendi Games,Action,2005
NARC,Midway Games,Shooter,2005
One Piece: Gigant Battle!,Namco Bandai Games,Fighting,2010
Valkyrie Profile: Lenneth,Square Enix,Role-Playing,2006
LocoRoco 2,Sony Computer Entertainment,Platform,2008
Monster Rancher 3,Tecmo Koei,Simulation,2001
MechWarrior 2: 31st Century Combat,Activision,Simulation,1997
Earth Defense Force 2025,D3Publisher,Shooter,2013
Hamtaro: Ham-Ham Heartbreak,Nintendo,Action,2002
Okage: Shadow King,Sony Computer Entertainment,Role-Playing,2001
Press Your Luck 2010 Edition,Ubisoft,Misc,2009
Mobile Suit Z-Gundam,Namco Bandai Games,Action,1997
NHL 2K10,Take-Two Interactive,Sports,2009
Kirby's Dream Land 3,Nintendo,Platform,1997
Big Bass World Championship,Starfish,Sports,1997
Jurassic Park,Ocean,Action,1993
Mystical Ninja starring Goemon,Konami Digital Entertainment,Action,1997
Tetrisphere,Nintendo,Puzzle,1997
Saban's Power Rangers: Lightspeed Rescue,THQ,Action,2000
Senran Kagura Shinovi Versus: Sh?jo-tachi no Sh?mei,Marvelous Entertainment,Fighting,2013
North American Hunting Extravaganza,Zushi Games,Sports,2008
World's Scariest Police Chases,Activision,Racing,2001
Shaun Palmer's Pro Snowboarder,Activision,Sports,2001
AMF Bowling World Lanes,Bethesda Softworks,Sports,2008
MechAssault 2: Lone Wolf,Microsoft Game Studios,Simulation,2004
Hamster Club 3,Jorudan,Simulation,2002
Breath of Fire II,Laguna,Role-Playing,1994
Teenage Mutant Ninja Turtles: Smash-Up,Ubisoft,Fighting,2009
Kinectimals: Now with Bears!,Microsoft Game Studios,Misc,2011
ATV/Monster Truck Mayhem,"Destination Software, Inc",Racing,2007
Naruto: Ultimate Ninja 3 (JP sales),Atari,Fighting,2005
Rapala Pro Fishing,Zoo Digital Publishing,Sports,2004
J-League Pro Soccer Club o Tsukurou '04,Sega,Sports,2004
Dark Void,Capcom,Action,2010
James Bond 007: Legends,Activision,Shooter,2012
Dai-2-Ji Super Robot Taisen Z Saisei-hen,Namco Bandai Games,Strategy,2012
Disney's The Haunted Mansion,Take-Two Interactive,Platform,2003
Arc the Lad: Twilight of the Spirits,Sony Computer Entertainment,Role-Playing,2003
Dance Dance Revolution 3rdMix,Konami Digital Entertainment,Simulation,2000
Ryu Ga Gotoku Kenzan!,Sega,Adventure,2008
U-Sing,Mindscape,Misc,2009
Super Robot Taisen A,Banpresto,Strategy,2001
Chicken Shoot,Zoo Digital Publishing,Action,2007
Company of Heroes 2,THQ,Strategy,2013
We Sing Deutsche Hits,Nordic Games,Misc,2011
Boxer's Road,New,Fighting,1995
Frogs And Flies,Mattel Interactive,Action,1981
DanceDanceRevolution,Konami Digital Entertainment,Simulation,2010
Toriko: Gourmet Survival!,Namco Bandai Games,Role-Playing,2011
South Park Rally,Acclaim Entertainment,Racing,1998
Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,Konami Digital Entertainment,Platform,1994
Mega Man Zero Collection,Capcom,Platform,2010
Arctic Thunder,Midway Games,Racing,2001
G-Force,Electronic Arts,Action,2009
Football Manager Handheld 2010,Sega,Sports,2009
J-League Pro Soccer Club o Tsukurou!,Sega,Sports,1999
Wonder Pets! Save the Animals!,Take-Two Interactive,Adventure,2008
Formula 1 Championship Edition,Psygnosis,Racing,1997
Shrek,TDK Mediactive,Platform,2001
CSI: Deadly Intent - The Hidden Cases,Ubisoft,Adventure,2009
SOCOM: Tactical Strike,Sony Computer Entertainment,Shooter,2007
Blasto,Sony Computer Entertainment,Action,1998
Trauma Center: Second Opinion,Nintendo,Simulation,2006
Backyard Baseball 2006,Atari,Sports,2005
Cabela's Outdoor Adventures (2006),Zoo Digital Publishing,Sports,2005
Suikoden V,Konami Digital Entertainment,Role-Playing,2006
Picross 2,Nintendo,Puzzle,1996
Remember Me,Capcom,Action,2013
Battalion Wars 2,Nintendo,Strategy,2007
Outlaw Golf 2,Global Star,Sports,2004
SpongeBob's Boating Bash,THQ,Misc,2010
Sentouchu: Densetsu no Shinobi to Survival Battle!,Namco Bandai Games,Action,2013
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,Sega,Sports,2010
Momotarou Dentetsu 12,Hudson Soft,Misc,2003
Batman: Rise of Sin Tzu,Ubisoft,Action,2003
Disney's Tarzan: Return to the Jungle,Activision,Action,2002
Jikkyou Powerful Pro Yakyuu 13,Konami Digital Entertainment,Sports,2006
Fossil Fighters: Frontier,Nintendo,Role-Playing,2014
Star Fox: Zero,Nintendo,Shooter,2016
Mega Man X3,Laguna,Action,1995
Stunt Race FX,Nintendo,Racing,1993
Bloody Roar 3,Virgin Interactive,Fighting,2001
WWE Crush Hour,THQ,Racing,2003
Persona 2: Eternal Punishment,Atlus,Role-Playing,2000
Star Wars: Flight of the Falcon,THQ,Action,2003
One Piece: Gigant Battle 2 Shin Sekai,Namco Bandai Games,Fighting,2011
Pac-Man All-Stars,Namco Bandai Games,Fighting,2011
Def Jam Rapstar,Konami Digital Entertainment,Misc,2010
Angry Birds Star Wars,Activision,Strategy,2013
Mega Man ZX Advent,Capcom,Platform,2007
Jikkyou Powerful Pro Yakyuu 2000,Konami Digital Entertainment,Sports,2000
Sniper: Ghost Warrior 2,City Interactive,Shooter,2013
Racquet Sports,Ubisoft,Sports,2010
Harry Potter and the Deathly Hallows - Part 2,Electronic Arts,Action,2011
Supreme Commander 2,Square Enix,Strategy,2010
Resident Evil: Dead Aim,Capcom,Action,2003
SpongeBob SquarePants: The Yellow Avenger,THQ,Action,2005
The Fairly Odd Parents: Shadow Showdown,THQ,Platform,2004
Xbox Music Mixer,Microsoft Game Studios,Misc,2003
The Shoot,Sony Computer Entertainment,Shooter,2010
College Hoops 2K8,Take-Two Interactive,Sports,2007
Guilty Gear X2,Sammy Corporation,Fighting,2002
Yu-Gi-Oh! 5D's Tag Force 5,Konami Digital Entertainment,Strategy,2010
From TV Animation One Piece: Tobidase Kaizokudan!,Namco Bandai Games,Role-Playing,2001
The Tale of Despereaux,Brash Entertainment,Platform,2008
Aggressive Inline,Acclaim Entertainment,Sports,2002
Karaoke Revolution,Konami Digital Entertainment,Misc,2003
Hello Kitty Daily,Nobilis,Misc,2008
Metal Arms: Glitch in the System,Vivendi Games,Shooter,2003
Jikkyou Powerful Pro Yakyuu 7,Konami Digital Entertainment,Sports,2000
Rally Cross 2,989 Studios,Racing,1998
EverGrace,Ubisoft,Role-Playing,2000
Lunar 2: Eternal Blue Complete,Kadokawa Shoten,Role-Playing,1999
Street Fighter Alpha: Warriors' Dreams,Capcom,Fighting,1996
Rugrats: Royal Ransom,THQ,Platform,2002
Disney Fairies: Tinker Bell and the Great Fairy Rescue,Disney Interactive Studios,Adventure,2010
F1 Race Stars,Codemasters,Racing,2012
Naruto Shippuden: Ultimate Ninja Impact,Namco Bandai Games,Fighting,2011
Charlie and the Chocolate Factory,Global Star,Adventure,2005
Kurushi Final: Mental Blocks,Sony Computer Entertainment,Puzzle,1998
Style Lab: Jewelry Design,Ubisoft,Simulation,2009
Risk / Battleship / Clue,Zoo Digital Publishing,Misc,2005
SD Gundam G Generation World,Namco Bandai Games,Strategy,2011
The Wild Thornberrys Movie,THQ,Platform,2002
Dynasty Warriors 5 Empires,Tecmo Koei,Action,2006
SoulCalibur,Namco Bandai Games,Fighting,1999
WipEout 3,Psygnosis,Racing,1999
Etrian Odyssey,Nintendo,Role-Playing,2007
Conan,THQ,Action,2007
Classic NES Series: Ice Climber,Nintendo,Platform,2004
F.E.A.R.,Vivendi Games,Shooter,2006
Tenchu Z,Microsoft Game Studios,Action,2006
Freeway,Activision,Action,1980
Driver 2 Advance,Atari,Action,2002
Monster Rancher 4,Tecmo Koei,Simulation,2003
Chicken Riot,City Interactive,Action,2010
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,Disney Interactive Studios,Adventure,2004
Iron Storm,Sega,Shooter,1995
Radiant Historia,Atlus,Role-Playing,2010
Marvel Super Heroes,Virgin Interactive,Fighting,1997
Super Bust-A-Move,Acclaim Entertainment,Puzzle,2000
Thunderstrike: Operation Phoenix,Eidos Interactive,Simulation,2001
Alien's Return,ITT Family Games,Action,1982
Frostbite,Activision,Action,1983
Kameo: Elements of Power,Microsoft Game Studios,Action,2005
Power Rangers Samurai,Namco Bandai Games,Action,2011
WWE Day of Reckoning 2,THQ,Fighting,2005
Dynasty Warriors 6 Empires,Tecmo Koei,Action,2009
Fantastic Voyage,20th Century Fox Video Games,Action,1981
The Adventures of Tintin: The Game,Ubisoft,Action,2011
Silent Hill HD Collection,Konami Digital Entertainment,Action,2012
Night Warriors: Darkstalkers' Revenge,Virgin Interactive,Fighting,1995
Off Road Challenge,GT Interactive,Racing,1998
Bank Heist,20th Century Fox Video Games,Action,1982
Tom Clancy's Ghost Recon: Shadow Wars,Ubisoft,Strategy,2011
Backstreet Billiards,ASCII Entertainment,Misc,1998
MX vs. ATV Untamed,THQ,Racing,2008
Carnival,Coleco,Shooter,1981
Football Manager Handheld 2008,Sega,Sports,2007
Leisure Suit Larry: Magna Cum Laude,Vivendi Games,Adventure,2004
Momotarou Dentetsu DS: Tokyo & Japan,Hudson Soft,Misc,2007
Point Blank,Sony Computer Entertainment,Shooter,1997
Bookworm,PopCap Games,Puzzle,2009
Smart Girl's Party Game,505 Games,Misc,2008
Puzzle Quest: Challenge of the Warlords,D3Publisher,Puzzle,2007
Star Ocean: Second Evolution,Square Enix,Role-Playing,2008
My Baby Boy,Nobilis,Simulation,2008
Tiny Tank,Sony Computer Entertainment,Action,1998
Jonah Lomu Rugby Challenge,Home Entertainment Suppliers,Sports,2011
Spy Hunter,Midway Games,Racing,2002
Imagine: Movie Star,Ubisoft,Simulation,2008
Zoo Tycoon (2013),Microsoft Game Studios,Simulation,2013
Herbie: Fully Loaded,Disney Interactive Studios,Racing,2005
The Sims 3: Town Life Stuff,Electronic Arts,Simulation,2011
Pony Friends 2,Eidos Interactive,Simulation,2009
Buzz! The Ultimate Music Quiz,Sony Computer Entertainment,Misc,2010
Persona 5,Atlus,Role-Playing,2016
The Eye of Judgment,Sony Computer Entertainment,Misc,2007
Modnation Racers: Road Trip,Sony Computer Entertainment,Racing,2012
Fade to Black,Electronic Arts,Action,1996
MXRider,Atari,Racing,2001
Night at the Museum: Battle of the Smithsonian,Majesco Entertainment,Action,2009
World Championship Poker 2: Featuring Howard Lederer,Oxygen Interactive,Misc,2005
Sengoku Musou 3 Z,Ackkstudios,Action,2011
Operation Flashpoint: Red River,Codemasters,Shooter,2011
Ninja Blade,Microsoft Game Studios,Action,2009
Transformers: Revenge of the Fallen (DS Versions),Activision,Action,2009
Fracture,LucasArts,Shooter,2008
Tokyo Highway Battle,Jaleco,Racing,1996
Pandora's Tower,Nintendo,Role-Playing,2011
Binary Domain,Sega,Action,2012
The King of Fighters XIII,Rising Star Games,Fighting,2011
Beyond Good & Evil,Ubisoft,Adventure,2003
Banjo-Kazooie: Grunty's Revenge,THQ,Platform,2003
Bomberman World,Sony Computer Entertainment,Puzzle,1998
The X-Factor,Deep Silver,Misc,2010
Digimon World: Dawn / Dusk,Namco Bandai Games,Role-Playing,2007
Street Fighter Alpha 3 MAX,Capcom,Fighting,2006
Untold Legends: The Warriors Code,Ubisoft,Role-Playing,2006
Deathtrap Dungeon,Eidos Interactive,Action,1998
Tales of the World: Radiant Mythology 2,Namco Bandai Games,Role-Playing,2009
Wipeout 2,Activision,Misc,2011
Ape Escape Academy,Sony Computer Entertainment,Misc,2004
Ultimate Marvel vs. Capcom 3,Capcom,Fighting,2011
WWE Wrestlemania XIX,THQ,Fighting,2003
Planet Puzzle League,Nintendo,Puzzle,2007
Naruto: Rise of a Ninja,Ubisoft,Action,2007
Chicken Blaster,Zushi Games,Shooter,2009
Family Party: 90 Great Games Party Pack,D3Publisher,Misc,2010
Klonoa 2: Lunatea's Veil,Sony Computer Entertainment,Platform,2001
Deus Ex: Invisible War,Eidos Interactive,Shooter,2003
Disney's Treasure Planet,Sony Computer Entertainment,Action,2002
Jeanne d'Arc,Sony Computer Entertainment,Role-Playing,2006
NCAA Basketball 10,Electronic Arts,Sports,2009
BeatMania Append GottaMix,Konami Digital Entertainment,Simulation,1999
Dead or Alive 5,Tecmo Koei,Fighting,2015
Rugby World Cup 2011,505 Games,Sports,2011
Kelly Slater's Pro Surfer,Activision,Sports,2002
Sonic Boom: Rise of Lyric,Sega,Action,2014
Legends of Wrestling II,Acclaim Entertainment,Fighting,2002
World Stadium 3,Namco Bandai Games,Sports,1999
Little Deviants,Sony Computer Entertainment,Platform,2011
Extra Bases,Namco Bandai Games,Sports,1990
Super Power League 2,Hudson Soft,Sports,1994
Capcom Classics Collection Reloaded,Capcom,Misc,2006
Deus Ex: Mankind Divided,Square Enix,Role-Playing,2016
Cool Boarders 2001,Sony Computer Entertainment,Sports,2001
Classic NES Series: Castlevania,Nintendo,Platform,2004
Dragon Ball Z: Battle of Z,Namco Bandai Games,Fighting,2014
GT Advance Championship Racing,THQ,Racing,2001
Way of the Samurai 2,Capcom,Action,2003
FIFA Street 3,Electronic Arts,Sports,2008
BattleTanx,3DO,Action,1998
Hatsune Miku: Project Diva Extend,Sega,Misc,2011
Battlestations: Pacific,Eidos Interactive,Strategy,2009
Pitfall 3D: Beyond the Jungle,Activision,Platform,1998
Disgaea 2: Cursed Memories,Tecmo Koei,Role-Playing,2006
DECA Sports Freedom,Hudson Soft,Sports,2010
Clock Tower 3,Capcom,Adventure,2002
Battle Dodge Ball,Banpresto,Sports,1991
Goosebumps HorrorLand,Scholastic Inc.,Adventure,2008
Elebits,Konami Digital Entertainment,Action,2006
"Warhammer 40,000: Squad Command",THQ,Strategy,2007
Disgaea: Hour of Darkness,Tecmo Koei,Role-Playing,2003
NeoGeo Battle Coliseum,Ignition Entertainment,Fighting,2005
SSX Blur,Electronic Arts,Sports,2007
DiRT 2,Sony Computer Entertainment,Racing,2009
My Baby: First Steps,SouthPeak Games,Simulation,2009
Parodius,Konami Digital Entertainment,Shooter,1994
Spy Kids 3-D: Game Over,Disney Interactive Studios,Platform,2003
Sakura Wars 3: Paris wa Moeteiru ka,Sega,Adventure,2001
1001 Touch Games,Avanquest,Action,2011
NCAA GameBreaker 2001,Sony Computer Entertainment,Sports,2000
Power Rangers: Ninja Storm,THQ,Misc,2003
Naruto: Gekito Ninja Taisen! 4,Tomy Corporation,Fighting,2005
Kidou Senshi Gundam F91: Formula Senki 0122,Namco Bandai Games,Strategy,1991
Despicable Me: The Game,D3Publisher,Platform,2010
Golden Axe: Beast Rider,Sega,Action,2008
MySims SkyHeroes,Electronic Arts,Action,2010
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,Rocket Company,Misc,2007
"Carnival Games: Monkey See, Monkey Do!",Take-Two Interactive,Misc,2011
Eternal Sonata,Atari,Role-Playing,2007
DX Game of Life 2,Takara,Misc,1997
NBA Live 96,Electronic Arts,Sports,1996
Clash of the Titans,Namco Bandai Games,Action,2010
Folklore,Sony Computer Entertainment,Role-Playing,2007
Dragon Ball Z: Extreme Butoden,Namco Bandai Games,Fighting,2015
Samurai Warriors 2: Xtreme Legends (JP sales),Tecmo Koei,Action,2007
Teen Titans,THQ,Action,2006
Dead Rising 2: Off the Record,Capcom,Action,2011
Frogger II: Threeedeep!,Parker Bros.,Action,1983
Etrian Odyssey III: The Drowned City,Atlus,Role-Playing,2010
Karaoke Revolution Presents American Idol Encore 2,Konami Digital Entertainment,Misc,2008
Fireball,Starpath Corp.,Action,1981
Discovery Kids: Puppy Playtime,505 Games,Simulation,2009
Dr. Mario / Puzzle League,Nintendo,Puzzle,2005
Bleach: Shattered Blade,Sega,Fighting,2006
Shin Nippon Pro Wrestling: Toukon Retsuden,Tomy Corporation,Fighting,1995
Major League Baseball 2K6,Take-Two Interactive,Sports,2006
Pinball Hall of Fame: The Gottlieb Collection,Play It,Misc,2004
God of War Collection,Sony Computer Entertainment,Action,2014
Overlord II,Codemasters,Action,2009
J Stars Victory Vs.,Namco Bandai Games,Fighting,2014
The Witcher: Enhanced Edition,Atari,Role-Playing,2008
Nicktoons: Movin',THQ,Action,2004
One Piece: Romance Dawn - Bouken no Yoake,Namco Bandai Games,Fighting,2012
SWAT: Global Strike Team,Vivendi Games,Shooter,2003
Championship Bass,Electronic Arts,Sports,1999
Test Drive Unlimited,Atari,Racing,2006
Bratz: Girlz Really Rock,THQ,Action,2008
Dead or Alive 5,Ubisoft Annecy,Fighting,2012
Shin Megami Tensei: Devil Survivor 2,Ghostlight,Role-Playing,2011
NHL Breakaway 98,Acclaim Entertainment,Sports,1998
Momotarou Dentetsu 20-Shuunen,Hudson Soft,Misc,2008
Kinetica,Sony Computer Entertainment,Racing,2001
Beautiful Katamari,Namco Bandai Games,Puzzle,2007
Bust-A-Move '99,Acclaim Entertainment,Puzzle,1997
Dragon Quest Monsters 1·2,Enix Corporation,Role-Playing,2002
Ben 10 Ultimate Alien: Cosmic Destruction,D3Publisher,Platform,2010
Bigfoot: Collision Course,Zoo Digital Publishing,Racing,2008
Prey,Take-Two Interactive,Shooter,2006
Birthday Party Bash,Take-Two Interactive,Misc,2009
OverBlood,Electronic Arts,Action,1996
ESPN X-Games Pro Boarder,Sony Computer Entertainment,Sports,1997
Murdered: Soul Suspect,Square Enix,Action,2014
Harvest Moon: Back to Nature,Ubisoft,Simulation,1999
Naruto: Ultimate Ninja (JP sales),Atari,Fighting,2003
The Settlers 7: Paths to a Kingdom,Ubisoft,Strategy,2010
"Go, Diego, Go!: Great Dinosaur Rescue",Take-Two Interactive,Action,2008
TrackMania Turbo,Ubisoft,Action,2016
Minute to Win It,Zoo Games,Misc,2011
Darkwatch,Ubisoft,Shooter,2005
Dance Dance Revolution Universe,Konami Digital Entertainment,Simulation,2007
Sky Odyssey,Sony Computer Entertainment,Simulation,2000
Nagano Winter Olympics 98,Konami Digital Entertainment,Sports,1997
Rayman 2: The Great Escape,Ubisoft,Platform,2000
Kirby's Block Ball,Nintendo,Puzzle,1995
DiRT Rally,Codemasters,Racing,2016
Fortress,Majesco Entertainment,Action,2001
FIFA 2001 Major League Soccer,Electronic Arts,Sports,2000
Peppa Pig: Theme Park Fun,P2 Games,Misc,2011
Rally Cross,Sony Computer Entertainment,Racing,1997
Frogger's Adventures: The Rescue,Konami Digital Entertainment,Platform,2003
Extreme Pinball,Electronic Arts,Misc,1995
Karaoke Revolution Volume 3,Konami Digital Entertainment,Misc,2004
Gold's Gym: Cardio Workout (Others sales),Ubisoft,Sports,2008
Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima,ASCII Entertainment,Simulation,2001
Street Fighter Alpha 2,Virgin Interactive,Fighting,1995
No.1 Muscle Ranking - Kinniku Banzuke Vol. 1: Oregasaikyouno Otokoda!,Konami Digital Entertainment,Sports,1999
Ultimate Fighting Championship: Throwdown,Ubisoft,Fighting,2002
SpongeBob SquarePants: Double Pack,THQ,Platform,2005
Tetris 2 + Bombliss,BPS,Puzzle,1991
Disney's Extreme Skate Adventure,Activision,Sports,2003
7 Wonders II,Rondomedia,Puzzle,2009
"Ed, Edd n Eddy: Jawbreakers!",BAM! Entertainment,Adventure,2002
Frankenstein's Monster,Data Age,Action,1982
Riven: The Sequel to Myst,Acclaim Entertainment,Adventure,1997
Derby Stallion DS,Enterbrain,Sports,2008
Mirror's Edge Catalyst,Electronic Arts,Platform,2016
Monster Lab,Eidos Interactive,Role-Playing,2008
Dragon Quest Monsters: Battle Road Victory,Square Enix,Strategy,2010
Shin Momotarou Densetsu,Hudson Soft,Role-Playing,1993
From TV Animation One Piece: Grand Battle! 3,Namco Bandai Games,Fighting,2003
Sega Smash Pack,Atari,Misc,2002
The Conveni: Ano Machi wo Dokusen Seyo,Human Entertainment,Simulation,1997
Shin Super Robot Taisen Special Disk,Banpresto,Strategy,1997
Live A Live,SquareSoft,Role-Playing,1994
NFL Fever 2004,Microsoft Game Studios,Sports,2003
Clive Barker's Jericho,Codemasters,Shooter,2007
Littlest Pet Shop: City Friends,Electronic Arts,Simulation,2009
Kingdom Under Fire: The Crusaders,Deep Silver,Strategy,2004
4x4 Evolution,Gathering of Developers,Racing,2001
Momotarou Dentetsu Happy,Hudson Soft,Misc,1996
Power Rangers: Time Force,THQ,Action,2001
Romance of the Three Kingdoms VII,Tecmo Koei,Strategy,2000
"Monsters, Inc.",Sony Computer Entertainment,Adventure,2002
WipEout Pulse,Sony Computer Entertainment,Racing,2007
Quiz Magic Academy DS,Konami Digital Entertainment,Misc,2008
Resident Evil Archives: Resident Evil,Capcom,Action,2008
Dynasty Warriors 4 Empires,Tecmo Koei,Action,2004
Shenmue II,Microsoft Game Studios,Adventure,2002
Heart of Darkness,Ocean,Platform,1998
Virtua Striker 2,Sega,Sports,1999
Fable III,Microsoft Game Studios,Role-Playing,2011
Might & Magic Heroes VI,Ubisoft,Role-Playing,2011
Fuel,Codemasters,Racing,2009
ExerBeat,Namco Bandai Games,Sports,2010
WarCraft II: The Dark Saga,Electronic Arts,Strategy,1997
MonHun Nikki: Poka Poka Ailu Mura G,Capcom,Role-Playing,2011
Sesame Street: Cookie's Counting Carnival,Warner Bros. Interactive Entertainment,Misc,2010
NBA ShootOut,Sony Computer Entertainment,Sports,1995
Fishing Master,Konami Digital Entertainment,Misc,2007
Phineas and Ferb Ride Again,Disney Interactive Studios,Action,2010
Jikkyou Powerful Pro Yakyuu 14,Konami Digital Entertainment,Sports,2007
Contra 4,Konami Digital Entertainment,Shooter,2007
Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,Konami Digital Entertainment,Platform,1995
Bust-A-Move Universe,Square Enix,Puzzle,2011
Jikkyou Powerful Pro Yakyuu Portable 3,Konami Digital Entertainment,Sports,2008
Sesame Street: Elmo's Letter Adventure,NewKidCo,Misc,1998
Namco Museum: Virtual Arcade,Atari,Misc,2008
NBA Inside Drive 2003,Microsoft Game Studios,Sports,2002
FIFA Street,Electronic Arts,Sports,2005
Hatsune Miku: Project Mirai DX,Sega,Misc,2015
Dragon Ball Heroes: Ultimate Mission 2,Namco Bandai Games,Strategy,2014
Shrek: Forever After,Activision,Platform,2010
Homefront: The Revolution,Deep Silver,Shooter,2016
Jampack: Summer 2003 (RP-M),Sony Computer Entertainment,Misc,2003
Alone in the Dark: One-Eyed Jack's Revenge,Infogrames,Adventure,1996
Yu-Gi-Oh! The Dawn of Destiny,Konami Digital Entertainment,Strategy,2004
Happy Feet,Midway Games,Action,2006
Einhänder,SquareSoft,Shooter,1997
Tiny Toon Adventures: The Great Beanstalk,Sony Computer Entertainment,Misc,1998
Foto Frenzy: Spot The Diffrence,Storm City Games,Puzzle,2009
Armored Core: Silent Line,Agetec,Simulation,2003
SD Gundam G Generation Wars,Namco Bandai Games,Strategy,2009
Dr. Seuss: How the Grinch Stole Christmas,CokeM Interactive,Action,2007
Panzer Dragoon II Zwei,Sega,Shooter,1995
KISS Pinball,Take-Two Interactive,Action,2001
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,THQ,Action,2005
Super Robot Taisen Complete Box,Banpresto,Strategy,1999
Mega Man Maverick Hunter X,Capcom,Platform,2005
Cabela's Outdoor Adventures (2009),Activision Value,Sports,2009
Lord of Arcana,Square Enix,Role-Playing,2010
Jikkyou Powerful Pro Yakyuu 4,Konami Digital Entertainment,Sports,1997
Goemon's Great Adventure,Konami Digital Entertainment,Platform,1998
Bass Hunter 64,Take-Two Interactive,Sports,1999
Doubutsu no Mori,Nintendo,Simulation,2001
Football Manager 2016,Sega,Simulation,2015
Naruto: Ninja Destiny (US sales),Namco Bandai Games,Fighting,2006
Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,Namco Bandai Games,Action,2014
Calvin Tucker's Redneck Jamboree,Zoo Games,Misc,2008
J-League Winning Eleven 2007: Club Championship,Konami Digital Entertainment,Sports,2007
Shrek's Carnival Craze Party Games,Activision,Misc,2008
Harvest Moon: Magical Melody,Rising Star Games,Simulation,2008
Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,Konami Digital Entertainment,Strategy,2010
Mega Man Battle Network 2,Ubisoft,Action,2002
Little King's Story,Rising Star Games,Strategy,2009
Mountain King,CBS Electronics,Action,1982
Jampack Volume 12,Sony Computer Entertainment,Misc,2005
Shin Megami Tensei: Devil Summoner - Soul Hackers,Atlus,Role-Playing,1997
Lord of the Rings: Battle for Middle-Earth,Electronic Arts,Strategy,2006
Demolition Racer,Infogrames,Racing,1998
Final Fantasy IV,SquareSoft,Simulation,1997
Math Play,Ubisoft,Puzzle,2006
NASCAR Thunder 2003,Electronic Arts,Racing,2002
SD Gundam G Generation: Overworld,Namco Bandai Games,Strategy,2012
Sorcery,Sony Computer Entertainment,Action,2012
TouchMaster: Connect,Warner Bros. Interactive Entertainment,Puzzle,2010
NHL FaceOff 2000,Sony Computer Entertainment,Sports,1998
Star Wars Racer Revenge,LucasArts,Racing,2002
NCAA Final Four 2002,Sony Computer Entertainment,Sports,2001
